goalnum;PR_GOALNUM;goalnum;model;real;TIME
15;1.9353386136749;6;15;6;10/01/2018
4;1.8511027995476;17;19;23;10/01/2018
9;1.8446395461417;0;28;23;10/01/2018
0;1.843978602359;1;28;24;10/01/2018
0;1.8402493344797;14;28;38;10/01/2018
5;1.8388371676385;0;33;38;10/01/2018
8;1.8224738500163;0;41;38;10/01/2018
1;1.8025500107705;18;42;56;10/01/2018
1;1.727515265448;1;43;57;10/01/2018
10;1.6950507701683;10;53;67;10/01/2018
6;1.6943223141442;0;59;67;10/01/2018
19;1.6631308313356;0;78;67;10/01/2018
8;1.6605925879717;0;86;67;11/01/2018
5;1.6480390051414;0;91;67;11/01/2018
2;1.638982072231;0;93;67;11/01/2018
7;1.6295740508811;9;100;76;11/01/2018
7;1.6262581101542;0;107;76;11/01/2018
8;1.6211977950796;0;115;76;11/01/2018
2;1.6064723974229;0;117;76;11/01/2018
8;1.5917518219283;15;125;91;11/01/2018
10;1.5883142344139;1;135;92;11/01/2018
4;1.5858617296253;0;139;92;11/01/2018
8;1.5804729218645;1;147;93;11/01/2018
3;1.575431318609;4;150;97;11/01/2018
5;1.5613258010119;12;155;109;11/01/2018
3;1.5284313058603;8;158;117;12/01/2018
0;1.528039242339;8;158;125;12/01/2018
14;1.5192815924493;0;172;125;12/01/2018
0;1.5190222848535;3;172;128;12/01/2018
6;1.517791169435;7;178;135;12/01/2018
4;1.510686118557;8;182;143;15/01/2018
0;1.5042451805207;10;182;153;15/01/2018
14;1.4775830445908;4;196;157;15/01/2018
7;1.4762287951649;17;203;174;15/01/2018
7;1.4726184166772;0;210;174;16/01/2018
2;1.4693678430215;5;212;179;16/01/2018
7;1.4653001761075;5;219;184;16/01/2018
7;1.4563293778926;1;226;185;16/01/2018
1;1.4494426149946;2;227;187;16/01/2018
5;1.4402254770646;4;232;191;16/01/2018
0;1.4387799629509;1;232;192;16/01/2018
3;1.4289838271254;7;235;199;16/01/2018
0;1.4277239984401;21;235;220;16/01/2018
0;1.4191415246275;7;235;227;16/01/2018
10;1.4190255924057;5;245;232;16/01/2018
2;1.4092513760154;1;247;233;16/01/2018
1;1.3995783747923;5;248;238;18/01/2018
0;1.3992504528603;2;248;240;18/01/2018
1;1.3947513488051;10;249;250;18/01/2018
12;1.3906159471057;0;261;250;18/01/2018
10;1.3890556583274;4;271;254;18/01/2018
2;1.3846830779841;0;273;254;18/01/2018
12;1.3821667487877;1;285;255;18/01/2018
2;1.3800848883873;3;287;258;18/01/2018
0;1.3797223887931;8;287;266;18/01/2018
5;1.3720998001843;4;292;270;18/01/2018
1;1.3662991026628;1;293;271;18/01/2018
6;1.3642994028698;5;299;276;18/01/2018
5;1.363709747769;7;304;283;19/01/2018
9;1.3608440434037;3;313;286;19/01/2018
2;1.3574339384183;0;315;286;19/01/2018
6;1.3566522017752;0;321;286;19/01/2018
4;1.3457181251422;11;325;297;19/01/2018
0;1.3408892717059;3;325;300;19/01/2018
0;1.3367746085779;0;325;300;19/01/2018
4;1.3360140776553;4;329;304;19/01/2018
1;1.333393950356;5;330;309;22/01/2018
6;1.3329854471508;1;336;310;22/01/2018
0;1.3292903506683;3;336;313;22/01/2018
5;1.3149052212017;2;341;315;22/01/2018
3;1.310715474957;5;344;320;22/01/2018
0;1.3085133803723;0;344;320;23/01/2018
0;1.3051601061017;0;344;320;23/01/2018
10;1.3032035795634;0;354;320;23/01/2018
1;1.3018310450188;2;355;322;23/01/2018
1;1.3003880656629;1;356;323;23/01/2018
2;1.2994179150194;0;358;323;23/01/2018
13;1.2989925991671;2;371;325;23/01/2018
3;1.2958671509782;0;374;325;23/01/2018
3;1.2935356541925;23;377;348;23/01/2018
5;1.2842652565256;5;382;353;23/01/2018
7;1.2828740256245;1;389;354;23/01/2018
4;1.2821323494428;2;393;356;23/01/2018
0;1.2740892636027;1;393;357;23/01/2018
4;1.2729027575823;3;397;360;23/01/2018
5;1.2721054616784;2;402;362;24/01/2018
3;1.2695366021083;19;405;381;25/01/2018
1;1.2676447694962;10;406;391;25/01/2018
1;1.2659307054105;1;407;392;25/01/2018
0;1.2562266753595;4;407;396;25/01/2018
3;1.2543965189662;3;410;399;25/01/2018
0;1.2465314270754;10;410;409;25/01/2018
3;1.2457399977986;0;413;409;25/01/2018
0;1.2419147980119;3;413;412;25/01/2018
2;1.2416984225868;3;415;415;25/01/2018
2;1.2400121695575;8;417;423;25/01/2018
23;1.23891170013;3;440;426;25/01/2018
4;1.2371883997639;7;444;433;25/01/2018
3;1.2336881120099;7;447;440;25/01/2018
7;1.2303136137234;7;454;447;26/01/2018
1;1.2265440333424;1;455;448;26/01/2018
1;1.2172666957076;0;456;448;26/01/2018
3;1.206810965109;0;459;448;26/01/2018
2;1.2060775696378;0;461;448;26/01/2018
4;1.2053424817651;0;465;448;26/01/2018
2;1.2044652480099;0;467;448;26/01/2018
3;1.2026344285101;1;470;449;26/01/2018
5;1.2019885832358;2;475;451;26/01/2018
9;1.197387037126;0;484;451;26/01/2018
7;1.1971106592715;0;491;451;26/01/2018
2;1.196683979164;1;493;452;26/01/2018
0;1.1952050818857;2;493;454;26/01/2018
2;1.1930583395842;0;495;454;26/01/2018
0;1.1927086998111;1;495;455;26/01/2018
5;1.1840903195626;0;500;455;26/01/2018
1;1.1825908772631;3;501;458;29/01/2018
11;1.1820297871793;14;512;472;30/01/2018
3;1.1818447784164;0;515;472;30/01/2018
0;1.1803505752966;1;515;473;30/01/2018
0;1.1794325413738;0;515;473;30/01/2018
3;1.1793976920009;0;518;473;30/01/2018
1;1.1793057486627;0;519;473;30/01/2018
4;1.1776535869666;0;523;473;30/01/2018
0;1.1747514308462;2;523;475;30/01/2018
0;1.1735647984698;0;523;475;30/01/2018
4;1.1706871661463;1;527;476;30/01/2018
5;1.1703811716641;1;532;477;30/01/2018
0;1.1678479389423;1;532;478;31/01/2018
1;1.1613959789182;2;533;480;31/01/2018
6;1.1519446188985;0;539;480;31/01/2018
4;1.1514931620567;4;543;484;31/01/2018
7;1.1461605834019;0;550;484;31/01/2018
0;1.1379125785522;0;550;484;31/01/2018
0;1.1363317607788;0;550;484;31/01/2018
1;1.1361720252003;0;551;484;31/01/2018
0;1.1246872280952;0;551;484;31/01/2018
0;1.1242472293375;0;551;484;31/01/2018
3;1.1209495208895;0;554;484;31/01/2018
2;1.1184910180387;0;556;484;31/01/2018
0;1.1177834453308;0;556;484;31/01/2018
1;1.1173702547349;1;557;485;31/01/2018
2;1.1168472424714;1;559;486;31/01/2018
2;1.1163224036769;0;561;486;31/01/2018
0;1.1150438112099;0;561;486;31/01/2018
1;1.1130728196512;0;562;486;31/01/2018
7;1.1123740080847;3;569;489;31/01/2018
5;1.1119056945344;0;574;489;31/01/2018
0;1.109490115567;0;574;489;31/01/2018
3;1.1091832763957;0;577;489;31/01/2018
0;1.1087753235582;1;577;490;31/01/2018
1;1.1086543974618;1;578;491;31/01/2018
0;1.1083273070821;4;578;495;01/02/2018
4;1.1072404666241;2;582;497;01/02/2018
1;1.1056642567263;2;583;499;01/02/2018
4;1.1023829254451;1;587;500;01/02/2018
8;1.1021399224409;0;595;500;01/02/2018
0;1.0963823097263;0;595;500;01/02/2018
6;1.0870668833107;0;601;500;01/02/2018
2;1.0864761395228;1;603;501;01/02/2018
0;1.0851935283924;0;603;501;01/02/2018
2;1.0851106618647;0;605;501;01/02/2018
0;1.0847482525667;1;605;502;01/02/2018
1;1.0839767917424;2;606;504;02/02/2018
3;1.0832847009688;24;609;528;05/02/2018
0;1.0785613867654;6;609;534;06/02/2018
2;1.0736353527238;0;611;534;06/02/2018
1;1.0718414126797;1;612;535;06/02/2018
3;1.0714040708384;4;615;539;06/02/2018
0;1.0651535963711;1;615;540;06/02/2018
0;1.0621599551508;0;615;540;06/02/2018
1;1.0588691966551;0;616;540;06/02/2018
3;1.057170326589;0;619;540;06/02/2018
0;1.0551950128278;0;619;540;06/02/2018
1;1.0546751907164;0;620;540;06/02/2018
1;1.0519678180228;1;621;541;06/02/2018
3;1.0485155384214;0;624;541;06/02/2018
4;1.0444749076213;1;628;542;06/02/2018
8;1.0404064320206;0;636;542;06/02/2018
0;1.0390648422933;0;636;542;06/02/2018
21;1.0381129383422;0;657;542;06/02/2018
0;1.0369595025347;0;657;542;06/02/2018
0;1.0361141787834;2;657;544;06/02/2018
1;1.0356881262791;0;658;544;06/02/2018
3;1.0356189113015;3;661;547;06/02/2018
1;1.0354215326929;10;662;557;08/02/2018
6;1.0353907946391;0;668;557;08/02/2018
0;1.030700072935;1;668;558;08/02/2018
1;1.026417872588;2;669;560;08/02/2018
0;1.0248115961351;0;669;560;08/02/2018
0;1.023317956366;1;669;561;08/02/2018
0;1.0194513993629;2;669;563;08/02/2018
1;1.0182164618021;1;670;564;08/02/2018
0;1.0165915215783;0;670;564;08/02/2018
0;1.0145816017483;1;670;565;08/02/2018
1;1.0124006277817;4;671;569;08/02/2018
2;1.012203183817;9;673;578;08/02/2018
0;1.0112018739072;0;673;578;08/02/2018
0;1.0111307716473;1;673;579;08/02/2018
6;1.0048973467739;0;679;579;08/02/2018
2;1.0016350829122;2;681;581;08/02/2018
2;1.0014613327058;0;683;581;09/02/2018
1;1.0011701920241;0;684;581;09/02/2018
0;0.99915055779594;0;684;581;09/02/2018
1;0.99868185664668;0;685;581;09/02/2018
4;0.99784202671318;2;689;583;09/02/2018
1;0.99508113334155;4;690;587;09/02/2018
0;0.99247008025366;1;690;588;09/02/2018
1;0.99229494166051;0;691;588;09/02/2018
0;0.99168125302582;1;691;589;09/02/2018
0;0.99039576696521;0;691;589;09/02/2018
0;0.98771199642999;0;691;589;09/02/2018
4;0.98680053367147;0;695;589;09/02/2018
0;0.98605521250186;0;695;589;09/02/2018
1;0.98395696581073;4;696;593;09/02/2018
24;0.98177433507352;0;720;593;09/02/2018
3;0.98128187384803;1;723;594;09/02/2018
0;0.97939098424011;0;723;594;09/02/2018
3;0.97912914603415;1;726;595;09/02/2018
2;0.97803907073138;2;728;597;09/02/2018
3;0.97718382189845;2;731;599;09/02/2018
0;0.97642883595728;0;731;599;09/02/2018
0;0.97526663642849;0;731;599;09/02/2018
3;0.97485340985629;0;734;599;09/02/2018
0;0.97330687539016;0;734;599;12/02/2018
1;0.97314301857166;0;735;599;12/02/2018
0;0.97101087630019;0;735;599;12/02/2018
1;0.97033188316673;0;736;599;12/02/2018
8;0.96722412249239;1;744;600;12/02/2018
7;0.96685718698782;1;751;601;12/02/2018
3;0.96632746030017;2;754;603;12/02/2018
0;0.96620527539714;0;754;603;12/02/2018
1;0.96540910767635;0;755;603;12/02/2018
2;0.96327675958277;0;757;603;12/02/2018
3;0.96291087505452;0;760;603;12/02/2018
0;0.96114672114161;0;760;603;12/02/2018
0;0.95957556995151;2;760;605;12/02/2018
1;0.95953823553577;1;761;606;12/02/2018
0;0.95926408968654;0;761;606;12/02/2018
3;0.95849105850679;3;764;609;12/02/2018
2;0.95710660460939;5;766;614;12/02/2018
2;0.95618852465713;0;768;614;12/02/2018
1;0.95286413906251;2;769;616;13/02/2018
1;0.9506283191241;1;770;617;13/02/2018
1;0.94966962298817;1;771;618;13/02/2018
1;0.94949858136284;1;772;619;13/02/2018
2;0.94877424025204;0;774;619;14/02/2018
7;0.94830869157217;1;781;620;14/02/2018
3;0.94576514765719;1;784;621;14/02/2018
1;0.94460466038403;0;785;621;14/02/2018
2;0.9442495519939;0;787;621;14/02/2018
1;0.94276248673722;0;788;621;14/02/2018
1;0.94132498194512;0;789;621;14/02/2018
0;0.94060578465478;1;789;622;14/02/2018
0;0.93803012958963;1;789;623;14/02/2018
0;0.93477417879401;2;789;625;14/02/2018
1;0.93290077680087;0;790;625;14/02/2018
1;0.93023237820976;1;791;626;14/02/2018
2;0.92897085950262;0;793;626;14/02/2018
0;0.92458248222297;0;793;626;14/02/2018
0;0.9243277691543;0;793;626;14/02/2018
0;0.92245883865311;1;793;627;14/02/2018
1;0.92214330867962;0;794;627;14/02/2018
0;0.92104723574606;0;794;627;14/02/2018
1;0.92071212073724;1;795;628;14/02/2018
5;0.92020582724958;1;800;629;14/02/2018
3;0.91910280849554;0;803;629;14/02/2018
0;0.91815689453861;1;803;630;14/02/2018
3;0.91683434871761;1;806;631;14/02/2018
1;0.91472126958901;0;807;631;14/02/2018
1;0.91071697828268;0;808;631;14/02/2018
2;0.90983342542262;1;810;632;14/02/2018
0;0.90939740533205;0;810;632;15/02/2018
6;0.90893615213339;2;816;634;15/02/2018
0;0.90441688756498;1;816;635;15/02/2018
1;0.90318675789176;1;817;636;15/02/2018
1;0.90153883356818;1;818;637;15/02/2018
4;0.90046961587971;0;822;637;15/02/2018
0;0.89896342137698;2;822;639;15/02/2018
0;0.89827177385721;6;822;645;15/02/2018
4;0.8969434710177;2;826;647;15/02/2018
0;0.89583266948074;0;826;647;15/02/2018
3;0.8931748971206;2;829;649;15/02/2018
0;0.88978095468898;0;829;649;15/02/2018
0;0.88924287476851;0;829;649;15/02/2018
12;0.88681252338765;1;841;650;15/02/2018
0;0.88653150839228;6;841;656;16/02/2018
0;0.88595379629919;1;841;657;16/02/2018
4;0.88347564174408;0;845;657;16/02/2018
2;0.88231273567476;0;847;657;16/02/2018
0;0.87994369542241;3;847;660;16/02/2018
0;0.87915117759482;1;847;661;16/02/2018
0;0.87912534287404;1;847;662;16/02/2018
1;0.87630324370171;0;848;662;16/02/2018
1;0.87570887698772;0;849;662;16/02/2018
0;0.87455846652329;1;849;663;16/02/2018
1;0.87280523747268;0;850;663;16/02/2018
0;0.87154341219404;0;850;663;16/02/2018
8;0.87029913632786;0;858;663;16/02/2018
0;0.86956271622782;0;858;663;16/02/2018
0;0.86905659100446;0;858;663;16/02/2018
0;0.86864590424013;0;858;663;16/02/2018
0;0.86460135633318;3;858;666;16/02/2018
2;0.86205692979509;0;860;666;16/02/2018
3;0.86006103020215;1;863;667;16/02/2018
0;0.85992254709261;5;863;672;16/02/2018
0;0.85749134328597;2;863;674;16/02/2018
0;0.85663900922704;0;863;674;16/02/2018
0;0.85595024252021;0;863;674;16/02/2018
2;0.85461468914622;1;865;675;16/02/2018
1;0.85379681839036;1;866;676;16/02/2018
1;0.85325303046227;0;867;676;19/02/2018
2;0.85293802727714;0;869;676;20/02/2018
2;0.85186884388116;3;871;679;20/02/2018
0;0.8484810476739;0;871;679;20/02/2018
0;0.84578606384134;2;871;681;20/02/2018
0;0.84559634151375;1;871;682;20/02/2018
0;0.84233367935169;6;871;688;20/02/2018
2;0.84190886103674;4;873;692;20/02/2018
1;0.84144333937324;0;874;692;20/02/2018
5;0.83880201275083;0;879;692;20/02/2018
0;0.83810930817697;2;879;694;20/02/2018
1;0.835042474229;0;880;694;20/02/2018
5;0.8338328576569;0;885;694;20/02/2018
1;0.83322595860436;1;886;695;20/02/2018
0;0.83204602605409;0;886;695;20/02/2018
0;0.83178853717426;0;886;695;20/02/2018
0;0.83099825794067;1;886;696;20/02/2018
4;0.82830401648521;1;890;697;20/02/2018
0;0.82796412752094;1;890;698;20/02/2018
1;0.82741962843814;1;891;699;20/02/2018
0;0.82583208690369;0;891;699;20/02/2018
0;0.82562993989248;0;891;699;20/02/2018
9;0.82465021301921;0;900;699;20/02/2018
0;0.82397545310849;0;900;699;20/02/2018
0;0.8234287239567;0;900;699;20/02/2018
0;0.82257820191966;0;900;699;21/02/2018
3;0.81965952691076;0;903;699;21/02/2018
0;0.8181486317848;0;903;699;21/02/2018
2;0.81671125831576;0;905;699;21/02/2018
0;0.8161831595261;0;905;699;21/02/2018
7;0.8112911713565;0;912;699;21/02/2018
2;0.81127048627394;0;914;699;21/02/2018
1;0.81100869783283;2;915;701;21/02/2018
2;0.80568839360292;1;917;702;21/02/2018
1;0.80536689385873;0;918;702;21/02/2018
6;0.8033919690675;0;924;702;21/02/2018
3;0.80126504313876;1;927;703;21/02/2018
1;0.80076433134035;0;928;703;21/02/2018
5;0.79986225543114;1;933;704;21/02/2018
0;0.79967992514136;0;933;704;21/02/2018
2;0.79833162370909;0;935;704;21/02/2018
0;0.79658357466995;0;935;704;21/02/2018
23;0.79627565097398;1;958;705;21/02/2018
0;0.7936032511669;1;958;706;21/02/2018
0;0.79268365917054;0;958;706;21/02/2018
2;0.79100574726042;1;960;707;21/02/2018
2;0.79068861636533;1;962;708;21/02/2018
0;0.7876009961397;1;962;709;21/02/2018
2;0.78686838364411;0;964;709;21/02/2018
0;0.78671220395676;1;964;710;21/02/2018
0;0.786361836399;1;964;711;21/02/2018
0;0.78499101602142;0;964;711;21/02/2018
0;0.78391956558291;0;964;711;21/02/2018
1;0.78127246125621;0;965;711;21/02/2018
0;0.78018128737887;0;965;711;26/02/2018
0;0.77949670599564;0;965;711;26/02/2018
0;0.77939258494618;0;965;711;26/02/2018
1;0.77881389994841;0;966;711;26/02/2018
0;0.77851597622365;0;966;711;26/02/2018
0;0.77522002479612;0;966;711;26/02/2018
14;0.77432716244082;0;980;711;26/02/2018
0;0.77339155999626;1;980;712;26/02/2018
0;0.77229306491325;1;980;713;26/02/2018
2;0.76951329439047;0;982;713;26/02/2018
4;0.76886468977461;1;986;714;26/02/2018
2;0.76761407391843;0;988;714;26/02/2018
3;0.76537838739391;1;991;715;26/02/2018
2;0.7649579304605;0;993;715;26/02/2018
0;0.76406253765291;0;993;715;26/02/2018
0;0.76371246141355;0;993;715;26/02/2018
0;0.76211761056461;0;993;715;26/02/2018
0;0.7612996067403;1;993;716;26/02/2018
2;0.76044998361315;0;995;716;26/02/2018
0;0.75810226024186;1;995;717;26/02/2018
1;0.75806596872978;0;996;717;26/02/2018
1;0.75729493492392;0;997;717;26/02/2018
0;0.75219430558484;0;997;717;26/02/2018
0;0.7517642975635;1;997;718;26/02/2018
0;0.75064236992974;0;997;718;26/02/2018
0;0.74915398557902;1;997;719;26/02/2018
0;0.7482671150924;3;997;722;27/02/2018
1;0.74689858452661;0;998;722;27/02/2018
1;0.74494256097438;0;999;722;27/02/2018
0;0.74408583950583;0;999;722;27/02/2018
0;0.74376492486771;0;999;722;27/02/2018
0;0.74266877316637;0;999;722;27/02/2018
0;0.74234664343631;0;999;722;27/02/2018
5;0.74220434025274;0;1004;722;27/02/2018
0;0.74216536793061;2;1004;724;27/02/2018
0;0.74086189967238;0;1004;724;27/02/2018
1;0.73856864793276;1;1005;725;27/02/2018
0;0.73719028507813;0;1005;725;27/02/2018
0;0.7366897249918;2;1005;727;27/02/2018
1;0.73203382907233;2;1006;729;27/02/2018
0;0.73191589054419;3;1006;732;27/02/2018
0;0.73173220304046;0;1006;732;27/02/2018
6;0.72877211572641;0;1012;732;27/02/2018
1;0.72655438526414;2;1013;734;27/02/2018
1;0.72470901075699;0;1014;734;27/02/2018
2;0.72212512473643;0;1016;734;27/02/2018
0;0.72043594006407;0;1016;734;27/02/2018
0;0.71984513469157;1;1016;735;27/02/2018
1;0.71914947129633;1;1017;736;27/02/2018
1;0.71657672845032;0;1018;736;27/02/2018
0;0.71640006907001;0;1018;736;28/02/2018
1;0.71533344565047;1;1019;737;28/02/2018
1;0.71385461284674;0;1020;737;28/02/2018
0;0.7111587433302;3;1020;740;28/02/2018
4;0.7105425332548;6;1024;746;28/02/2018
1;0.70829358936826;1;1025;747;28/02/2018
0;0.70754614051558;1;1025;748;28/02/2018
0;0.70711975333089;2;1025;750;28/02/2018
1;0.7054241865229;1;1026;751;28/02/2018
1;0.70489970846668;1;1027;752;28/02/2018
0;0.7048112300943;1;1027;753;28/02/2018
1;0.70435615488211;0;1028;753;28/02/2018
0;0.70411925291463;0;1028;753;28/02/2018
1;0.70288244295222;0;1029;753;28/02/2018
1;0.70282178536113;0;1030;753;28/02/2018
0;0.70198465359488;0;1030;753;28/02/2018
0;0.70149849448449;0;1030;753;28/02/2018
0;0.69856764924438;4;1030;757;28/02/2018
0;0.69756711619211;0;1030;757;28/02/2018
1;0.69668389720825;0;1031;757;01/03/2018
0;0.69363650673883;0;1031;757;01/03/2018
1;0.69137138684552;0;1032;757;01/03/2018
0;0.69071761981994;2;1032;759;01/03/2018
1;0.68996381434748;1;1033;760;02/03/2018
2;0.68971238068447;0;1035;760;02/03/2018
3;0.68944901009456;1;1038;761;02/03/2018
0;0.68700222510063;1;1038;762;02/03/2018
1;0.68494517887512;0;1039;762;02/03/2018
0;0.68459034055076;0;1039;762;02/03/2018
1;0.68095796978727;0;1040;762;02/03/2018
0;0.67966809810608;2;1040;764;02/03/2018
9;0.67850633661979;0;1049;764;02/03/2018
0;0.67843602189089;10;1049;774;02/03/2018
2;0.67735807556369;1;1051;775;02/03/2018
9;0.67656329806291;0;1060;775;02/03/2018
1;0.67536063161186;0;1061;775;02/03/2018
0;0.6716824776536;1;1061;776;02/03/2018
0;0.67076908625729;0;1061;776;05/03/2018
0;0.66723023604203;0;1061;776;05/03/2018
1;0.66702605159108;0;1062;776;05/03/2018
1;0.6656529068819;1;1063;777;05/03/2018
1;0.66204751354919;1;1064;778;05/03/2018
0;0.6601722272832;6;1064;784;05/03/2018
1;0.65683317421279;0;1065;784;05/03/2018
1;0.65372198643784;0;1066;784;05/03/2018
1;0.65254382796173;0;1067;784;05/03/2018
0;0.65140045780412;0;1067;784;05/03/2018
3;0.64955763928736;0;1070;784;05/03/2018
0;0.64925165046434;1;1070;785;05/03/2018
0;0.64904444385073;1;1070;786;05/03/2018
0;0.64671699955471;0;1070;786;05/03/2018
1;0.64577148146998;0;1071;786;05/03/2018
0;0.64417820093741;0;1071;786;05/03/2018
0;0.64408266133975;0;1071;786;05/03/2018
0;0.63957496219299;0;1071;786;05/03/2018
0;0.63910574051518;3;1071;789;05/03/2018
0;0.63697597079719;1;1071;790;05/03/2018
0;0.63279769710113;0;1071;790;05/03/2018
2;0.63125981757713;1;1073;791;05/03/2018
0;0.63031186766506;0;1073;791;05/03/2018
1;0.63005735206724;0;1074;791;05/03/2018
8;0.62987444600833;1;1082;792;05/03/2018
1;0.6290675462043;0;1083;792;05/03/2018
0;0.62777098081939;0;1083;792;05/03/2018
0;0.62743380348463;1;1083;793;05/03/2018
0;0.62549772315644;1;1083;794;05/03/2018
1;0.62430507001764;1;1084;795;05/03/2018
0;0.62430130355887;1;1084;796;06/03/2018
0;0.62177821159347;5;1084;801;06/03/2018
1;0.6217647856704;0;1085;801;06/03/2018
1;0.62106073723694;0;1086;801;06/03/2018
0;0.62028420638649;3;1086;804;06/03/2018
16;0.61674843361384;2;1102;806;06/03/2018
2;0.60932033077955;0;1104;806;06/03/2018
0;0.60849827911182;3;1104;809;06/03/2018
1;0.60784679943827;3;1105;812;06/03/2018
0;0.60770774011607;2;1105;814;06/03/2018
1;0.60752425336662;0;1106;814;06/03/2018
0;0.60735486275428;0;1106;814;06/03/2018
0;0.60621650050773;0;1106;814;06/03/2018
0;0.60456426090349;1;1106;815;06/03/2018
1;0.60389228200354;1;1107;816;06/03/2018
0;0.60052099104185;1;1107;817;06/03/2018
15;0.60044067192888;0;1122;817;06/03/2018
17;0.59912311016234;0;1139;817;06/03/2018
4;0.59878924150151;0;1143;817;06/03/2018
0;0.59766011690135;0;1143;817;06/03/2018
1;0.59744516581333;0;1144;817;06/03/2018
3;0.59692171841196;0;1147;817;06/03/2018
0;0.59682727751564;0;1147;817;06/03/2018
1;0.59676330796001;0;1148;817;06/03/2018
5;0.59609764445767;0;1153;817;06/03/2018
1;0.59567430866485;0;1154;817;06/03/2018
2;0.59173885341492;1;1156;818;06/03/2018
0;0.59157337941558;0;1156;818;06/03/2018
0;0.58831192696882;0;1156;818;06/03/2018
2;0.58772065506231;1;1158;819;06/03/2018
0;0.5871681542423;1;1158;820;06/03/2018
0;0.58695840945202;0;1158;820;06/03/2018
8;0.5818949383698;1;1166;821;07/03/2018
1;0.58166360326326;0;1167;821;07/03/2018
1;0.58114782911813;1;1168;822;12/03/2018
0;0.58047896962248;0;1168;822;12/03/2018
0;0.57988944560344;0;1168;822;12/03/2018
0;0.57695646732337;0;1168;822;12/03/2018
0;0.57644630678869;2;1168;824;12/03/2018
0;0.57639011093092;1;1168;825;12/03/2018
0;0.57576698944645;0;1168;825;12/03/2018
2;0.57469208526578;1;1170;826;12/03/2018
0;0.57396251935564;0;1170;826;12/03/2018
0;0.57254672119382;0;1170;826;12/03/2018
0;0.57175918751908;1;1170;827;12/03/2018
2;0.57023432249783;0;1172;827;12/03/2018
0;0.56980916228539;1;1172;828;12/03/2018
1;0.56765218635872;1;1173;829;12/03/2018
1;0.56672622328875;1;1174;830;13/03/2018
10;0.56617287289683;0;1184;830;13/03/2018
0;0.56454020496532;1;1184;831;13/03/2018
0;0.55927062756803;0;1184;831;13/03/2018
0;0.55902782770058;1;1184;832;13/03/2018
5;0.55787738329338;3;1189;835;13/03/2018
2;0.55559756327123;0;1191;835;13/03/2018
0;0.55471385737126;0;1191;835;13/03/2018
0;0.55459122137873;1;1191;836;13/03/2018
0;0.55242347286748;1;1191;837;13/03/2018
2;0.54658280886971;4;1193;841;13/03/2018
1;0.54388450897538;2;1194;843;13/03/2018
0;0.54323877261797;0;1194;843;13/03/2018
0;0.53540820800443;2;1194;845;13/03/2018
1;0.53528177010955;0;1195;845;13/03/2018
0;0.53439495400419;9;1195;854;13/03/2018
1;0.53315522852829;0;1196;854;13/03/2018
1;0.53058250673195;7;1197;861;13/03/2018
0;0.52991954112415;0;1197;861;13/03/2018
1;0.52935944563148;0;1198;861;13/03/2018
0;0.52723599636034;0;1198;861;13/03/2018
0;0.52679837181418;5;1198;866;13/03/2018
1;0.52647239895284;1;1199;867;13/03/2018
0;0.52418658953861;1;1199;868;13/03/2018
2;0.52395819126866;0;1201;868;13/03/2018
1;0.52262687539533;3;1202;871;13/03/2018
0;0.52039295304685;4;1202;875;13/03/2018
